"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/15/2020","AirNow","160850002","4","5.9","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/16/2020","AirNow","160850002","4","6.9","ug/m3 LC","29","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/17/2020","AirNow","160850002","4","6.2","ug/m3 LC","26","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/18/2020","AirNow","160850002","4","3.6","ug/m3 LC","15","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/19/2020","AirNow","160850002","4","4.9","ug/m3 LC","20","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/20/2020","AirNow","160850002","4","4.6","ug/m3 LC","19","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/21/2020","AirNow","160850002","4","5.6","ug/m3 LC","23","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/22/2020","AirNow","160850002","4","11.1","ug/m3 LC","46","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/23/2020","AirNow","160850002","4","11.7","ug/m3 LC","49","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/24/2020","AirNow","160850002","4","6.4","ug/m3 LC","27","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/25/2020","AirNow","160850002","4","6.3","ug/m3 LC","26","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/26/2020","AirNow","160850002","4","6.7","ug/m3 LC","28","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/27/2020","AirNow","160850002","4","8.6","ug/m3 LC","36","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/28/2020","AirNow","160850002","4","6.1","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/29/2020","AirNow","160850002","4","10.3","ug/m3 LC","43","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/30/2020","AirNow","160850002","4","11.3","ug/m3 LC","47","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/31/2020","AirNow","160850002","4","10.4","ug/m3 LC","43","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/01/2020","AirNow","160850002","4","15","ug/m3 LC","57","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/02/2020","AirNow","160850002","4","12.7","ug/m3 LC","52","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/03/2020","AirNow","160850002","4","8.7","ug/m3 LC","36","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
